	postMean	postSD	postCV	postMedian	postMedian_CILB	postMedian_CIUB	postMedianQuantileCV	postMode	postMode_CILB	postMode_CIUB	postModeQuantileCV
"[3,]"	7458	2934.94	39.35	7068	6928.300	7177.000	52.14	6500	2585	13234	56.70
"[4,]"	7431	3239.11	43.59	6880	6663.525	7065.475	58.66	4574	2637	13767	88.24
"[5,]"	7401	2803.46	37.88	6976	6847.100	7115.650	52.19	5646	2781	13030	64.49
"[6,]"	7262	3007.77	41.42	6729	6587.200	6868.750	55.15	7927	2391	12895	46.81
"[7,]"	8227	3190.72	38.78	7756	7581.925	7920.500	49.84	6062	2647	13901	63.77
"[8,]"	10305	3433.50	33.32	9668	9441.350	9867.800	46.10	6757	4258	16601	65.95
"[9,]"	8685	3254.73	37.48	8198	8030.150	8369.750	50.83	9638	3587	15017	43.23
"[10,]"	9771	3335.81	34.14	9294	9138.525	9447.750	43.11	10016	4309	16491	40.00
"[11,]"	6634	2823.00	42.55	6093	5939.000	6275.950	57.07	4831	1785	12040	71.97
"[12,]"	6751	2903.03	43.00	6227	6049.350	6421.275	57.33	5979	1708	12339	59.71
"[13,]"	6303	2808.60	44.56	5950	5758.150	6061.000	56.17	5472	1478	11596	61.07
"[14,]"	9100	3280.52	36.05	8618	8474.400	8838.175	47.54	9199	3607	15124	44.53
"[15,]"	7828	2934.30	37.48	7369	7225.050	7556.950	49.95	9237	3039	14273	39.85
"[16,]"	8369	3163.88	37.81	7890	7693.875	8076.000	47.57	6753	3040	14098	55.58
"[17,]"	5159	2584.78	50.10	4720	4590.525	4878.900	63.67	3122	1046	9595	96.25
"[18,]"	7705	3088.74	40.09	7266	7061.525	7442.325	52.44	7800	2342	13402	48.86
"[19,]"	7055	2927.80	41.50	6632	6475.000	6790.800	57.00	6857	2096	12442	55.13
"[20,]"	7539	3035.91	40.27	7003	6796.500	7126.700	56.78	7171	2839	13903	55.45
"[21,]"	6763	3040.95	44.96	6123	5969.050	6277.425	54.08	5696	1870	12858	58.14
"[22,]"	5308	2670.31	50.31	4902	4751.675	5040.475	66.19	4647	1335	10311	69.82
"[23,]"	6623	2873.48	43.39	6122	5972.050	6266.375	57.67	3996	2427	13070	88.34
"[24,]"	7843	3144.29	40.09	7282	7102.575	7401.900	51.54	5995	2709	14404	62.60
											
	postMean	postSD	postCV	postMedian	postMedian_CILB	postMedian_CIUB	postMedianQuantileCV	postMode	postMode_CILB	postMode_CIUB	postModeQuantileCV
"[1,]"	8278	3364.06	40.64	7650	7509.575	7874.550	50.79	7864	2822	14461	49.41
"[2,]"	8559	3200.28	37.39	8084	7870.050	8267.475	47.74	9040	3219	15168	42.70
"[3,]"	7458	2934.94	39.35	7068	6928.300	7177.000	52.14	6500	2585	13234	56.70
"[4,]"	7431	3239.11	43.59	6880	6663.525	7065.475	58.66	4574	2637	13767	88.24
"[5,]"	7401	2803.46	37.88	6976	6847.100	7115.650	52.19	5646	2781	13030	64.49
"[6,]"	7262	3007.77	41.42	6729	6587.200	6868.750	55.15	7927	2391	12895	46.81
"[7,]"	8227	3190.72	38.78	7756	7581.925	7920.500	49.84	6062	2647	13901	63.77
"[8,]"	10305	3433.50	33.32	9668	9441.350	9867.800	46.10	6757	4258	16601	65.95
"[9,]"	8685	3254.73	37.48	8198	8030.150	8369.750	50.83	9638	3587	15017	43.23
"[10,]"	9771	3335.81	34.14	9294	9138.525	9447.750	43.11	10016	4309	16491	40.00
"[11,]"	6634	2823.00	42.55	6093	5939.000	6275.950	57.07	4831	1785	12040	71.97
"[12,]"	6751	2903.03	43.00	6227	6049.350	6421.275	57.33	5979	1708	12339	59.71
"[13,]"	6303	2808.60	44.56	5950	5758.150	6061.000	56.17	5472	1478	11596	61.07
"[14,]"	9100	3280.52	36.05	8618	8474.400	8838.175	47.54	9199	3607	15124	44.53
"[15,]"	7828	2934.30	37.48	7369	7225.050	7556.950	49.95	9237	3039	14273	39.85
"[16,]"	8369	3163.88	37.81	7890	7693.875	8076.000	47.57	6753	3040	14098	55.58
"[17,]"	5159	2584.78	50.10	4720	4590.525	4878.900	63.67	3122	1046	9595	96.25
"[18,]"	7705	3088.74	40.09	7266	7061.525	7442.325	52.44	7800	2342	13402	48.86
"[19,]"	7055	2927.80	41.50	6632	6475.000	6790.800	57.00	6857	2096	12442	55.13
"[20,]"	7539	3035.91	40.27	7003	6796.500	7126.700	56.78	7171	2839	13903	55.45
"[21,]"	6763	3040.95	44.96	6123	5969.050	6277.425	54.08	5696	1870	12858	58.14
"[22,]"	5308	2670.31	50.31	4902	4751.675	5040.475	66.19	4647	1335	10311	69.82
"[23,]"	6623	2873.48	43.39	6122	5972.050	6266.375	57.67	3996	2427	13070	88.34
"[24,]"	7843	3144.29	40.09	7282	7102.575	7401.900	51.54	5995	2709	14404	62.60
											
	postMean	postSD	postCV	postMedian	postMedian_CILB	postMedian_CIUB	postMedianQuantileCV	postMode	postMode_CILB	postMode_CIUB	postModeQuantileCV
"[1,]"	8278	3364.06	40.64	7650	7509.575	7874.550	50.79	7864	2822	14461	49.41
"[2,]"	8559	3200.28	37.39	8084	7870.050	8267.475	47.74	9040	3219	15168	42.70
"[3,]"	7458	2934.94	39.35	7068	6928.300	7177.000	52.14	6500	2585	13234	56.70
"[4,]"	7431	3239.11	43.59	6880	6663.525	7065.475	58.66	4574	2637	13767	88.24
"[5,]"	7401	2803.46	37.88	6976	6847.100	7115.650	52.19	5646	2781	13030	64.49
"[6,]"	7262	3007.77	41.42	6729	6587.200	6868.750	55.15	7927	2391	12895	46.81
"[7,]"	8227	3190.72	38.78	7756	7581.925	7920.500	49.84	6062	2647	13901	63.77
"[8,]"	10305	3433.50	33.32	9668	9441.350	9867.800	46.10	6757	4258	16601	65.95
"[9,]"	8685	3254.73	37.48	8198	8030.150	8369.750	50.83	9638	3587	15017	43.23
"[10,]"	9771	3335.81	34.14	9294	9138.525	9447.750	43.11	10016	4309	16491	40.00
"[11,]"	6634	2823.00	42.55	6093	5939.000	6275.950	57.07	4831	1785	12040	71.97
"[12,]"	6751	2903.03	43.00	6227	6049.350	6421.275	57.33	5979	1708	12339	59.71
"[13,]"	6303	2808.60	44.56	5950	5758.150	6061.000	56.17	5472	1478	11596	61.07
"[14,]"	9100	3280.52	36.05	8618	8474.400	8838.175	47.54	9199	3607	15124	44.53
"[15,]"	7828	2934.30	37.48	7369	7225.050	7556.950	49.95	9237	3039	14273	39.85
"[16,]"	8369	3163.88	37.81	7890	7693.875	8076.000	47.57	6753	3040	14098	55.58
"[17,]"	5159	2584.78	50.10	4720	4590.525	4878.900	63.67	3122	1046	9595	96.25
"[18,]"	7705	3088.74	40.09	7266	7061.525	7442.325	52.44	7800	2342	13402	48.86
"[19,]"	7055	2927.80	41.50	6632	6475.000	6790.800	57.00	6857	2096	12442	55.13
"[20,]"	7539	3035.91	40.27	7003	6796.500	7126.700	56.78	7171	2839	13903	55.45
"[21,]"	6763	3040.95	44.96	6123	5969.050	6277.425	54.08	5696	1870	12858	58.14
"[22,]"	5308	2670.31	50.31	4902	4751.675	5040.475	66.19	4647	1335	10311	69.82
"[23,]"	6623	2873.48	43.39	6122	5972.050	6266.375	57.67	3996	2427	13070	88.34
"[24,]"	7843	3144.29	40.09	7282	7102.575	7401.900	51.54	5995	2709	14404	62.60
											
	postMean	postSD	postCV	postMedian	postMedian_CILB	postMedian_CIUB	postMedianQuantileCV	postMode	postMode_CILB	postMode_CIUB	postModeQuantileCV
"[1,]"	8278	3364.06	40.64	7650	7509.575	7874.550	50.79	7864	2822	14461	49.41
"[2,]"	8559	3200.28	37.39	8084	7870.050	8267.475	47.74	9040	3219	15168	42.70
"[3,]"	7458	2934.94	39.35	7068	6928.300	7177.000	52.14	6500	2585	13234	56.70
"[4,]"	7431	3239.11	43.59	6880	6663.525	7065.475	58.66	4574	2637	13767	88.24
"[5,]"	7401	2803.46	37.88	6976	6847.100	7115.650	52.19	5646	2781	13030	64.49
"[6,]"	7262	3007.77	41.42	6729	6587.200	6868.750	55.15	7927	2391	12895	46.81
"[7,]"	8227	3190.72	38.78	7756	7581.925	7920.500	49.84	6062	2647	13901	63.77
"[8,]"	10305	3433.50	33.32	9668	9441.350	9867.800	46.10	6757	4258	16601	65.95
"[9,]"	8685	3254.73	37.48	8198	8030.150	8369.750	50.83	9638	3587	15017	43.23
"[10,]"	9771	3335.81	34.14	9294	9138.525	9447.750	43.11	10016	4309	16491	40.00
"[11,]"	6634	2823.00	42.55	6093	5939.000	6275.950	57.07	4831	1785	12040	71.97
"[12,]"	6751	2903.03	43.00	6227	6049.350	6421.275	57.33	5979	1708	12339	59.71
"[13,]"	6303	2808.60	44.56	5950	5758.150	6061.000	56.17	5472	1478	11596	61.07
"[14,]"	9100	3280.52	36.05	8618	8474.400	8838.175	47.54	9199	3607	15124	44.53
"[15,]"	7828	2934.30	37.48	7369	7225.050	7556.950	49.95	9237	3039	14273	39.85
"[16,]"	8369	3163.88	37.81	7890	7693.875	8076.000	47.57	6753	3040	14098	55.58
"[17,]"	5159	2584.78	50.10	4720	4590.525	4878.900	63.67	3122	1046	9595	96.25
"[18,]"	7705	3088.74	40.09	7266	7061.525	7442.325	52.44	7800	2342	13402	48.86
"[19,]"	7055	2927.80	41.50	6632	6475.000	6790.800	57.00	6857	2096	12442	55.13
"[20,]"	7539	3035.91	40.27	7003	6796.500	7126.700	56.78	7171	2839	13903	55.45
"[21,]"	6763	3040.95	44.96	6123	5969.050	6277.425	54.08	5696	1870	12858	58.14
"[22,]"	5308	2670.31	50.31	4902	4751.675	5040.475	66.19	4647	1335	10311	69.82
"[23,]"	6623	2873.48	43.39	6122	5972.050	6266.375	57.67	3996	2427	13070	88.34
"[24,]"	7843	3144.29	40.09	7282	7102.575	7401.900	51.54	5995	2709	14404	62.60
											
	postMean	postSD	postCV	postMedian	postMedian_CILB	postMedian_CIUB	postMedianQuantileCV	postMode	postMode_CILB	postMode_CIUB	postModeQuantileCV
"[1,]"	8278	3364.06	40.64	7650	7509.575	7874.550	50.79	7864	2822	14461	49.41
"[2,]"	8559	3200.28	37.39	8084	7870.050	8267.475	47.74	9040	3219	15168	42.70
"[3,]"	7458	2934.94	39.35	7068	6928.300	7177.000	52.14	6500	2585	13234	56.70
"[4,]"	7431	3239.11	43.59	6880	6663.525	7065.475	58.66	4574	2637	13767	88.24
"[5,]"	7401	2803.46	37.88	6976	6847.100	7115.650	52.19	5646	2781	13030	64.49
"[6,]"	7262	3007.77	41.42	6729	6587.200	6868.750	55.15	7927	2391	12895	46.81
"[7,]"	8227	3190.72	38.78	7756	7581.925	7920.500	49.84	6062	2647	13901	63.77
"[8,]"	10305	3433.50	33.32	9668	9441.350	9867.800	46.10	6757	4258	16601	65.95
"[9,]"	8685	3254.73	37.48	8198	8030.150	8369.750	50.83	9638	3587	15017	43.23
"[10,]"	9771	3335.81	34.14	9294	9138.525	9447.750	43.11	10016	4309	16491	40.00
"[11,]"	6634	2823.00	42.55	6093	5939.000	6275.950	57.07	4831	1785	12040	71.97
"[12,]"	6751	2903.03	43.00	6227	6049.350	6421.275	57.33	5979	1708	12339	59.71
"[13,]"	6303	2808.60	44.56	5950	5758.150	6061.000	56.17	5472	1478	11596	61.07
"[14,]"	9100	3280.52	36.05	8618	8474.400	8838.175	47.54	9199	3607	15124	44.53
"[15,]"	7828	2934.30	37.48	7369	7225.050	7556.950	49.95	9237	3039	14273	39.85
"[16,]"	8369	3163.88	37.81	7890	7693.875	8076.000	47.57	6753	3040	14098	55.58
"[17,]"	5159	2584.78	50.10	4720	4590.525	4878.900	63.67	3122	1046	9595	96.25
"[18,]"	7705	3088.74	40.09	7266	7061.525	7442.325	52.44	7800	2342	13402	48.86
"[19,]"	7055	2927.80	41.50	6632	6475.000	6790.800	57.00	6857	2096	12442	55.13
"[20,]"	7539	3035.91	40.27	7003	6796.500	7126.700	56.78	7171	2839	13903	55.45
"[21,]"	6763	3040.95	44.96	6123	5969.050	6277.425	54.08	5696	1870	12858	58.14
"[22,]"	5308	2670.31	50.31	4902	4751.675	5040.475	66.19	4647	1335	10311	69.82
"[23,]"	6623	2873.48	43.39	6122	5972.050	6266.375	57.67	3996	2427	13070	88.34
"[24,]"	7843	3144.29	40.09	7282	7102.575	7401.900	51.54	5995	2709	14404	62.60
											
	postMean	postSD	postCV	postMedian	postMedian_CILB	postMedian_CIUB	postMedianQuantileCV	postMode	postMode_CILB	postMode_CIUB	postModeQuantileCV
"[1,]"	8278	3364.06	40.64	7650	7509.575	7874.550	50.79	7864	2822	14461	49.41
"[2,]"	8559	3200.28	37.39	8084	7870.050	8267.475	47.74	9040	3219	15168	42.70
"[3,]"	7458	2934.94	39.35	7068	6928.300	7177.000	52.14	6500	2585	13234	56.70
"[4,]"	7431	3239.11	43.59	6880	6663.525	7065.475	58.66	4574	2637	13767	88.24
"[5,]"	7401	2803.46	37.88	6976	6847.100	7115.650	52.19	5646	2781	13030	64.49
"[6,]"	7262	3007.77	41.42	6729	6587.200	6868.750	55.15	7927	2391	12895	46.81
"[7,]"	8227	3190.72	38.78	7756	7581.925	7920.500	49.84	6062	2647	13901	63.77
"[8,]"	10305	3433.50	33.32	9668	9441.350	9867.800	46.10	6757	4258	16601	65.95
"[9,]"	8685	3254.73	37.48	8198	8030.150	8369.750	50.83	9638	3587	15017	43.23
"[10,]"	9771	3335.81	34.14	9294	9138.525	9447.750	43.11	10016	4309	16491	40.00
"[11,]"	6634	2823.00	42.55	6093	5939.000	6275.950	57.07	4831	1785	12040	71.97
"[12,]"	6751	2903.03	43.00	6227	6049.350	6421.275	57.33	5979	1708	12339	59.71
"[13,]"	6303	2808.60	44.56	5950	5758.150	6061.000	56.17	5472	1478	11596	61.07
"[14,]"	9100	3280.52	36.05	8618	8474.400	8838.175	47.54	9199	3607	15124	44.53
"[15,]"	7828	2934.30	37.48	7369	7225.050	7556.950	49.95	9237	3039	14273	39.85
"[16,]"	8369	3163.88	37.81	7890	7693.875	8076.000	47.57	6753	3040	14098	55.58
"[17,]"	5159	2584.78	50.10	4720	4590.525	4878.900	63.67	3122	1046	9595	96.25
"[18,]"	7705	3088.74	40.09	7266	7061.525	7442.325	52.44	7800	2342	13402	48.86
"[19,]"	7055	2927.80	41.50	6632	6475.000	6790.800	57.00	6857	2096	12442	55.13
"[20,]"	7539	3035.91	40.27	7003	6796.500	7126.700	56.78	7171	2839	13903	55.45
"[21,]"	6763	3040.95	44.96	6123	5969.050	6277.425	54.08	5696	1870	12858	58.14
"[22,]"	5308	2670.31	50.31	4902	4751.675	5040.475	66.19	4647	1335	10311	69.82
"[23,]"	6623	2873.48	43.39	6122	5972.050	6266.375	57.67	3996	2427	13070	88.34
"[24,]"	7843	3144.29	40.09	7282	7102.575	7401.900	51.54	5995	2709	14404	62.60
											
	postMean	postSD	postCV	postMedian	postMedian_CILB	postMedian_CIUB	postMedianQuantileCV	postMode	postMode_CILB	postMode_CIUB	postModeQuantileCV
"[1,]"	8278	3364.06	40.64	7650	7509.575	7874.550	50.79	7864	2822	14461	49.41
"[2,]"	8559	3200.28	37.39	8084	7870.050	8267.475	47.74	9040	3219	15168	42.70
"[3,]"	7458	2934.94	39.35	7068	6928.300	7177.000	52.14	6500	2585	13234	56.70
"[4,]"	7431	3239.11	43.59	6880	6663.525	7065.475	58.66	4574	2637	13767	88.24
"[5,]"	7401	2803.46	37.88	6976	6847.100	7115.650	52.19	5646	2781	13030	64.49
"[6,]"	7262	3007.77	41.42	6729	6587.200	6868.750	55.15	7927	2391	12895	46.81
"[7,]"	8227	3190.72	38.78	7756	7581.925	7920.500	49.84	6062	2647	13901	63.77
"[8,]"	10305	3433.50	33.32	9668	9441.350	9867.800	46.10	6757	4258	16601	65.95
"[9,]"	8685	3254.73	37.48	8198	8030.150	8369.750	50.83	9638	3587	15017	43.23
"[10,]"	9771	3335.81	34.14	9294	9138.525	9447.750	43.11	10016	4309	16491	40.00
"[11,]"	6634	2823.00	42.55	6093	5939.000	6275.950	57.07	4831	1785	12040	71.97
"[12,]"	6751	2903.03	43.00	6227	6049.350	6421.275	57.33	5979	1708	12339	59.71
"[13,]"	6303	2808.60	44.56	5950	5758.150	6061.000	56.17	5472	1478	11596	61.07
"[14,]"	9100	3280.52	36.05	8618	8474.400	8838.175	47.54	9199	3607	15124	44.53
"[15,]"	7828	2934.30	37.48	7369	7225.050	7556.950	49.95	9237	3039	14273	39.85
"[16,]"	8369	3163.88	37.81	7890	7693.875	8076.000	47.57	6753	3040	14098	55.58
"[17,]"	5159	2584.78	50.10	4720	4590.525	4878.900	63.67	3122	1046	9595	96.25
"[18,]"	7705	3088.74	40.09	7266	7061.525	7442.325	52.44	7800	2342	13402	48.86
"[19,]"	7055	2927.80	41.50	6632	6475.000	6790.800	57.00	6857	2096	12442	55.13
"[20,]"	7539	3035.91	40.27	7003	6796.500	7126.700	56.78	7171	2839	13903	55.45
"[21,]"	6763	3040.95	44.96	6123	5969.050	6277.425	54.08	5696	1870	12858	58.14
"[22,]"	5308	2670.31	50.31	4902	4751.675	5040.475	66.19	4647	1335	10311	69.82
"[23,]"	6623	2873.48	43.39	6122	5972.050	6266.375	57.67	3996	2427	13070	88.34
"[24,]"	7843	3144.29	40.09	7282	7102.575	7401.900	51.54	5995	2709	14404	62.60
